tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	magic_software_packages	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_dip
This study	unknown	is001a	is001	FS-FD:SO-NO	pmagpy-2.190	183.0	5.0	59.0	76.0
This study	unknown	is001b	is001	FS-FD:SO-NO	pmagpy-2.190	207.0	5.0	59.0	80.0
This study	unknown	is001c	is001	FS-FD:SO-NO	pmagpy-2.190	192.0	5.0	59.0	59.0
This study	unknown	is001d	is001	FS-FD:SO-NO	pmagpy-2.190	276.0	5.0	59.0	79.0
This study	unknown	is001e	is001	FS-FD:SO-NO	pmagpy-2.190	198.0	5.0	59.0	34.0
This study	unknown	is001f	is001	FS-FD:SO-NO	pmagpy-2.190	203.0	5.0	59.0	64.0
This study	unknown	is001g	is001	FS-FD:SO-NO	pmagpy-2.190	230.0	5.0	59.0	48.0
This study	unknown	is001h	is001	FS-FD:SO-NO	pmagpy-2.190	310.0	5.0	59.0	56.0
This study	unknown	is001i	is001	FS-FD:SO-NO	pmagpy-2.190	177.0	5.0	59.0	39.0
This study	unknown	is001j	is001	FS-FD:SO-NO	pmagpy-2.190	150.0	5.0	59.0	58.0
This study	unknown	is001k	is001	FS-FD:SO-NO	pmagpy-2.190	121.0	5.0	59.0	49.0
This study	unknown	is001l	is001	FS-FD:SO-NO	pmagpy-2.190	249.0	5.0	59.0	45.0
This study	unknown	is001m	is001	FS-FD:SO-NO	pmagpy-2.190	296.0	5.0	59.0	51.0
This study	unknown	is001n	is001	FS-FD:SO-NO	pmagpy-2.190	287.0	5.0	59.0	57.0
This study	unknown	is001o	is001	FS-FD:SO-NO	pmagpy-2.190	238.0	5.0	59.0	34.0
This study	unknown	is001p	is001	FS-FD:SO-NO	pmagpy-2.190	220.0	5.0	59.0	35.0
This study	unknown	is002a	is002	FS-FD:SO-NO	pmagpy-2.190	280.0	5.0	59.0	34.0
This study	unknown	is002b	is002	FS-FD:SO-NO	pmagpy-2.190	329.0	5.0	59.0	39.0
This study	unknown	is002c	is002	FS-FD:SO-NO	pmagpy-2.190	249.0	5.0	59.0	82.0
This study	unknown	is002d	is002	FS-FD:SO-NO	pmagpy-2.190	249.0	5.0	59.0	83.0
This study	unknown	is002e	is002	FS-FD:SO-NO	pmagpy-2.190	262.0	5.0	59.0	78.0
